product_name,price,stock_quantity,Category
Wireless Mouse,25000,45,Computer Accessories
Mechanical Keyboard,85000,30,Computer Accessories
HD Monitor 24-inch,150000,12,Computer Accessories
USB-C Hub,35000,50,Computer Accessories
External SSD 1TB,120000,20,Storage & Power
Bluetooth Speaker,45000,35,Audio & Video
Noise Canceling Headphones,180000,15,Audio & Video
Webcam 1080p,55000,25,Computer Accessories
Gaming Chair,250000,8,Office & Lifestyle
Laptop Stand,28000,40,Computer Accessories
Smartphone Stand,12000,100,Mobile & Charging
Screen Protector,8000,150,Mobile & Charging
Phone Case,15000,80,Mobile & Charging
Fast Charger 65W,32000,60,Mobile & Charging
Wireless Earbuds,65000,40,Audio & Video
Smart Watch,110000,18,Mobile & Charging
Fitness Tracker,42000,22,Mobile & Charging
Power Bank 20000mAh,38000,30,Mobile & Charging
HDMI Cable 6ft,9000,75,Cables & Adapters
MicroSD Card 128GB,18000,90,Storage & Power
Desk Pad Large,22000,35,Computer Accessories
Ergonomic Pillow,35000,25,Office & Lifestyle
LED Desk Lamp,29000,40,Office & Lifestyle
Water Bottle Stainless Steel,16000,65,Office & Lifestyle
Coffee Mug Insulated,14000,50,Office & Lifestyle
Backpack Waterproof,48000,28,Office & Lifestyle
Notebook Hardcover,6000,120,Stationery & Supplies
Gel Pen Set 12pk,5000,200,Stationery & Supplies
Sticky Notes 12pk,4000,180,Stationery & Supplies
Desk Organizer,19000,30,Stationery & Supplies
Air Purifier Desktop,89000,10,Office & Lifestyle
Electric Kettle,31000,22,Office & Lifestyle
Mini Fridge,195000,5,Office & Lifestyle
Portable Fan,13000,85,Office & Lifestyle
Bluetooth Adapter,11000,70,Smart Home & Networking
Ethernet Cable 10ft,7000,110,Cables & Adapters
Surge Protector 6-Outlet,24000,45,Cables & Adapters
Cable Management Clips,6000,150,Cables & Adapters
Ring Light 10-inch,34000,20,Photography & Gaming
Microphone USB,78000,14,Audio & Video
Pop Filter,9000,55,Audio & Video
Tripod Compact,27000,32,Photography & Gaming
Action Camera 4K,135000,9,Photography & Gaming
Memory Card Reader,12000,60,Computer Accessories
VR Headset,299000,4,Photography & Gaming
Smart Bulb RGB,15000,80,Smart Home & Networking
Smart Plug WiFi,17000,75,Smart Home & Networking
Wireless Security Camera,62000,16,Smart Home & Networking
Robot Vacuum,245000,6,Smart Home & Networking
Portable Projector,175000,11,Smart Home & Networking
Standing Desk Converter,165000,7,Computer Accessories
Monitor Arm Dual,58000,19,Computer Accessories
Footrest Ergonomic,23000,33,Office & Lifestyle
Paper Shredder,52000,12,Stationery & Supplies
Label Maker,36000,24,Stationery & Supplies
Whiteboard Small,18000,40,Stationery & Supplies
Dry Erase Markers 8pk,7000,90,Stationery & Supplies
Document Scanner,145000,8,Stationery & Supplies
Wireless Presenter Clicker,16000,45,Computer Accessories
Graphics Drawing Tablet,95000,13,Computer Accessories
Stylus Pen Universal,14000,65,Computer Accessories
Laptop Sleeve 15-inch,21000,50,Computer Accessories
Blue Light Glasses,13000,85,Computer Accessories
Wrist Rest Keyboard,11000,60,Computer Accessories
Mouse Pad RGB,19000,42,Computer Accessories
Webcam Cover 3pk,3000,300,Computer Accessories
Cleaning Gel Keyboard,5000,140,Computer Accessories
Microfiber Cloths 6pk,8000,110,Cables & Adapters
Compressed Air Duster,9000,95,Cables & Adapters
Cable Sleeves 4pk,10000,70,Storage & Power
AA Batteries 16pk,12000,100,Storage & Power
AAA Batteries 16pk,12000,100,Storage & Power
Rechargeable Battery Charger,22000,35,Storage & Power
Flash Drive 64GB,10000,1200,Storage & Power
External Hard Drive 2TB,85000,25,Smart Home & Networking
Wi-Fi Router Dual Band,59000,18,Smart Home & Networking
Wi-Fi Range Extender,31000,30,Smart Home & Networking
Mesh Wi-Fi System,189000,8,Computer Accessories
KVM Switch 2-Port,44000,15,Cables & Adapters
USB-C to HDMI Adapter,17000,65,Audio & Video
Audio Cable Aux 3.5mm,4000,130,Computer Accessories
Headphone Stand,15000,50,Audio & Video
Soundbar TV,115000,12,Audio & Video
Subwoofer Compact,139000,7,Photography & Gaming
Gaming Controller PC,45000,28,Photography & Gaming
Flight Joystick,89000,9,Photography & Gaming
Steering Wheel Gaming,199000,5,Photography & Gaming
Capture Card 4K,98000,11,Photography & Gaming
Green Screen Collapsible,68000,14,Photography & Gaming
Studio Lights Pair,125000,10,Audio & Video
Acoustic Foam Panels 12pk,33000,22,Stationery & Supplies
Thermal Label Printer,88000,16,Tools & POS
Barcode Scanner Wireless,42000,20,Tools & POS
Cash Drawer,55000,11,Stationery & Supplies
Receipt Paper Rolls 10pk,12000,80,Tools & POS
Anti-Static Mat,16000,40,Tools & POS
Soldering Iron Kit,27000,25,Tools & POS
Precision Screwdriver Set,19000,55,Tools & POS
Digital Multimeter,24000,38,Tools & POS
Wire Stripper Tool,11000,65,Tools & POS
